,trade_date,md_close,gl_close
0,20181228,36.86,35.69
1,20181227,36.8,35.68
2,20181226,37.13,35.88
3,20181225,37.38,35.88
4,20181224,37.74,36.18
5,20181221,37.92,36.07
6,20181220,38.33,36.3
7,20181219,38.25,36.43
8,20181218,38.81,36.8
9,20181217,39.46,37.06
10,20181214,39.75,37.33
11,20181213,40.12,37.8
12,20181212,37.74,36.34
13,20181211,37.04,36.16
14,20181210,37.06,35.83
15,20181207,38.48,36.48
16,20181206,38.96,36.5
17,20181205,40.0,37.34
18,20181204,40.54,37.85
19,20181203,40.83,37.95
20,20181130,38.69,36.85
21,20181129,38.8,37.07
22,20181128,40.02,37.6
23,20181127,39.66,36.9
24,20181126,40.02,37.23
25,20181123,39.88,37.46
26,20181122,40.63,37.96
27,20181121,40.32,37.97
28,20181120,40.8,37.99
29,20181119,42.3,38.86
30,20181116,42.0,38.59
31,20181115,41.11,38.53
32,20181114,40.85,38.8
33,20181113,41.3,39.41
34,20181112,40.14,39.21
35,20181109,39.77,38.64
36,20181108,40.63,39.19
37,20181107,40.78,39.18
38,20181106,40.18,39.41
39,20181105,41.28,39.98
40,20181102,40.98,40.16
41,20181101,38.62,38.7
42,20181031,37.04,38.06
43,20181030,36.33,37.0
44,20181029,36.27,36.38
45,20180907,40.3,38.8
46,20180906,40.34,39.1
47,20180905,41.0,39.45
48,20180904,42.28,39.24
49,20180903,41.73,40.11
50,20180831,41.6,38.63
51,20180830,41.8,37.2
52,20180829,42.51,38.45
53,20180828,43.31,38.11
54,20180827,42.91,38.15
55,20180824,41.38,38.7
56,20180823,41.22,37.05
57,20180822,41.71,38.31
58,20180821,42.56,38.83
59,20180820,41.7,37.93
60,20180817,41.12,40.2
61,20180816,42.32,39.52
62,20180815,42.02,39.33
63,20180814,43.65,39.05
64,20180813,44.59,39.87
65,20180810,44.98,38.41
66,20180809,45.14,38.37
67,20180808,44.15,37.04
68,20180807,44.66,36.8
69,20180806,42.3,37.08
70,20180803,41.88,36.45
71,20180802,44.08,35.77
72,20180801,46.28,36.23
73,20180731,47.61,36.0
74,20180730,47.46,36.54
75,20180727,47.19,36.51
76,20180726,47.84,37.61
77,20180725,47.68,38.86
78,20180724,48.38,38.46
79,20180723,46.58,38.95
80,20180720,46.57,40.6
81,20180719,46.35,40.91
82,20180718,45.9,40.63
83,20180717,46.47,40.34
84,20180716,47.38,38.94
85,20180713,47.84,39.18
86,20180712,47.83,39.28
87,20180711,47.2,39.78
88,20180710,48.5,38.35
89,20180709,49.05,38.0
90,20180706,47.4,38.69
91,20180705,46.05,38.94
92,20180704,45.11,40.0
93,20180703,47.76,40.35
94,20180702,48.68,40.7
95,20180629,52.22,40.36
96,20180628,50.1,39.19
97,20180627,50.48,40.42
98,20180626,52.33,38.83
99,20180625,52.9,39.51
100,20180622,53.65,41.12
101,20180621,54.22,43.05
102,20180620,55.16,44.17
103,20180619,54.62,44.22
104,20180615,56.28,44.12
105,20180614,55.78,44.51
106,20180613,56.99,44.96
107,20180612,57.19,45.78
108,20180611,56.32,44.5
109,20180608,54.66,45.06
110,20180607,54.3,45.23
111,20180606,54.74,44.85
112,20180605,54.97,45.74
113,20180604,53.99,46.45
114,20180601,52.15,46.46
115,20180531,52.91,46.1
116,20180530,50.71,45.29
117,20180529,51.49,45.88
118,20180528,51.94,46.02
119,20180525,50.59,44.2
120,20180524,50.9,43.41
121,20180523,51.8,43.18
122,20180522,52.63,44.6
123,20180521,53.95,45.35
124,20180518,53.89,47.15
125,20180517,53.12,45.18
126,20180516,54.4,45.47
127,20180515,55.22,47.3
128,20180514,55.24,47.76
129,20180511,53.75,48.06
130,20180510,54.38,47.86
131,20180509,53.95,47.88
132,20180508,53.9,47.33
133,20180507,52.4,49.01
134,20180504,51.1,48.94
135,20180503,53.2,49.88
136,20180502,51.35,50.4
137,20180427,51.68,48.93
138,20180426,51.4,48.15
139,20180425,52.62,47.98
140,20180424,53.55,48.41
141,20180423,52.05,48.55
142,20180420,51.4,47.81
143,20180419,51.57,46.58
144,20180418,48.73,47.5
145,20180417,49.89,45.33
146,20180416,49.79,46.07
147,20180413,51.32,46.63
148,20180412,51.87,45.74
149,20180411,52.98,45.61
150,20180410,52.77,46.22
151,20180409,51.3,46.8
152,20180404,53.01,47.94
153,20180403,52.52,48.27
154,20180402,52.84,47.75
155,20180330,54.53,47.88
156,20180329,55.3,48.35
157,20180328,53.12,48.58
158,20180327,54.61,47.5
159,20180326,55.27,48.21
160,20180323,56.24,48.2
161,20180322,56.9,48.0
162,20180321,58.28,46.72
163,20180320,59.34,45.88
164,20180319,59.57,45.79
165,20180316,59.69,45.2
166,20180315,61.41,44.08
167,20180314,60.4,45.58
168,20180313,61.06,50.07
169,20180312,60.73,50.19
170,20180309,59.91,49.72
171,20180308,59.17,47.85
172,20180307,56.26,47.6
173,20180306,56.2,45.35
174,20180305,56.02,45.29
175,20180302,56.22,46.19
176,20180301,55.6,47.45
177,20180228,54.95,47.8
178,20180227,54.6,48.12
179,20180226,57.7,47.68
180,20180223,57.55,45.72
181,20180222,58.14,46.8
182,20180214,56.92,46.12
183,20180213,55.31,45.97
184,20180212,54.42,46.9
185,20180209,51.98,47.1
186,20180208,53.77,45.51
187,20180207,52.79,47.44
188,20180206,55.5,48.13
189,20180205,57.32,48.88
190,20180202,59.9,49.9
191,20180201,59.34,51.7
192,20180131,59.82,52.2
193,20180130,58.76,52.93
194,20180129,59.87,53.42
195,20180126,62.0,53.8
196,20180125,61.3,52.18
197,20180124,60.41,53.0
198,20180123,62.12,53.29
199,20180122,61.43,53.04
200,20180119,58.17,53.16
201,20180118,58.95,51.72
202,20180117,58.75,51.87
203,20180116,61.09,51.63
204,20180115,61.16,52.48
205,20180112,60.8,51.58
206,20180111,59.62,51.69
207,20180110,60.56,52.01
208,20180109,59.48,54.65
209,20180108,57.66,54.06
210,20180105,57.96,54.99
211,20180104,57.29,54.24
212,20180103,55.8,52.4
213,20180102,56.38,51.51
214,20171229,55.43,49.45
215,20171228,55.55,51.0
216,20171227,54.39,50.28
217,20171226,56.3,53.42
218,20171225,57.87,54.05
219,20171222,56.58,55.49
220,20171221,55.94,55.58
221,20171220,55.07,55.94
222,20171219,55.44,54.35
223,20171218,55.32,55.78
224,20171215,53.7,57.4
225,20171214,54.5,55.4
226,20171213,54.9,55.77
227,20171212,53.3,56.79
228,20171211,53.62,56.6
229,20171208,50.43,51.45
230,20171207,49.13,52.26
231,20171206,50.95,52.04
232,20171205,52.18,54.37
233,20171204,51.5,54.6
234,20171201,50.58,53.3
235,20171130,51.18,50.8
236,20171129,51.1,51.05
237,20171128,52.59,49.4
238,20171127,52.64,47.83
239,20171124,54.1,47.88
240,20171123,53.44,46.58
241,20171122,56.43,45.65
242,20171121,57.66,45.15
243,20171120,54.62,43.7
244,20171117,53.65,43.74
245,20171116,52.88,43.18
246,20171115,52.28,44.66
247,20171114,52.31,45.41
248,20171113,53.71,45.07
249,20171110,53.4,45.06
250,20171109,52.6,44.48
251,20171108,51.48,44.58
252,20171107,52.75,43.95
253,20171106,52.69,43.11
254,20171103,50.65,43.72
255,20171102,51.24,43.95
256,20171101,50.61,43.02
257,20171031,51.0,43.44
258,20171030,51.76,41.69
259,20171027,50.72,40.8
260,20171026,49.96,41.95
261,20171025,50.4,42.5
